Butler Manor,40.507044,-74.22888
Elm Park,40.631217,-74.147729
Silver Lake,40.624638,-74.099402
Fort Wadsworth,40.601486,-74.059011
Broad Channel,40.607125,-73.821105
Malba,40.791919,-73.827773
Lighthouse Hill,40.576553,-74.137698
Chelsea-Travis,40.589804,-74.192
Clove Lake,40.62073,-74.113332
Neponsit,40.571815,-73.861766
Flushing Meadows Corona Park,40.741038,-73.84077
Pelham Bay Park,40.86757,-73.801011
Bronx Park,40.859571,-73.877181
Charleston,40.538703,-74.236034
Shore Acres,40.609713,-74.060316
La Tourette Park,40.574099,-74.151599
Vinegar Hill,40.704068,-73.98195
Fort Tilden,40.560734,-73.899076
Blissville,40.734117,-73.938513
East Jamaica Bay Islands,40.614665,-73.819636
Roxbury,40.566391,-73.890683
Van Cortlandt Park,40.897049,-73.883908
Fresh Kills Park,40.580521,-74.179832
Jacob Riis Park,40.566812,-73.876742
John F. Kennedy International Airport,40.636135,-73.789866
La Guardia Airport,40.775501,-73.870591
Navy Yard,40.701786,-73.975464
Prospect Park,40.661795,-73.970175
Willowbrook,40.602695,-74.149493
Governors Island,40.688623,-74.019238
West Jamaica Bay Islands,40.617465,-73.856728
